symbol,timestamp,open,high,low,close,volume
SPY,2026-04-01T09:30:00-04:00,653.9000,655.4200,653.4900,654.9900,9247983
SPY,2026-04-01T09:35:00-04:00,654.9800,656.0500,654.5800,655.8350,1885738
SPY,2026-04-01T09:40:00-04:00,655.8391,655.8600,653.3600,653.9700,2491018
SPY,2026-04-01T09:45:00-04:00,653.9500,654.4900,653.0000,653.2300,1946245
SPY,2026-04-01T09:50:00-04:00,653.2300,654.8590,653.0200,653.9300,1541117
SPY,2026-04-01T09:55:00-04:00,653.9500,654.5800,653.6500,654.2900,873557
SPY,2026-04-01T10:00:00-04:00,654.3000,655.1800,653.8900,654.6500,1234742
SPY,2026-04-01T10:05:00-04:00,654.6700,655.2800,653.9600,654.8000,1138587
SPY,2026-04-01T10:10:00-04:00,654.7900,654.9200,654.0000,654.5900,1009984
SPY,2026-04-01T10:15:00-04:00,654.5600,655.0200,654.2399,654.7300,766692
SPY,2026-04-01T10:20:00-04:00,654.7200,655.4700,654.2400,654.6200,1323801
SPY,2026-04-01T10:25:00-04:00,654.6000,655.0900,654.3500,655.0300,1237590
SPY,2026-04-01T10:30:00-04:00,655.0300,655.5950,654.4200,654.5300,1218855
SPY,2026-04-01T10:35:00-04:00,654.5300,656.2900,653.5800,655.4900,1645496
SPY,2026-04-01T10:40:00-04:00,655.4900,656.0400,654.5000,655.6500,1319600
SPY,2026-04-01T10:45:00-04:00,655.6400,656.3600,655.0200,656.1800,885427
SPY,2026-04-01T10:50:00-04:00,656.1900,656.8500,655.7400,656.5220,1015825
SPY,2026-04-01T10:55:00-04:00,656.5200,656.7700,656.1710,656.5000,1425345
SPY,2026-04-01T11:00:00-04:00,656.5000,656.9300,656.3100,656.5800,1028840
SPY,2026-04-01T11:05:00-04:00,656.5850,657.0700,656.3700,656.9700,789690
SPY,2026-04-01T11:10:00-04:00,656.9700,657.0100,656.5200,656.6100,775601
SPY,2026-04-01T11:15:00-04:00,656.6200,656.9400,656.4700,656.9400,589429
SPY,2026-04-01T11:20:00-04:00,656.9050,657.0300,656.4900,656.6750,601888
