symbol,timestamp,open,high,low,close,volume
SPY,2026-05-26T09:30:00-04:00,525.00,525.20,524.80,525.10,1000000
SPY,2026-05-26T09:35:00-04:00,525.10,525.50,525.05,525.40,1001000
SPY,2026-05-26T09:40:00-04:00,525.40,525.50,525.20,525.30,1002000
SPY,2026-05-26T09:45:00-04:00,525.30,525.40,525.28,525.35,1003000
SPY,2026-05-26T09:50:00-04:00,525.35,525.45,525.33,525.40,1004000
SPY,2026-05-26T09:55:00-04:00,525.40,525.50,525.38,525.45,1005000
SPY,2026-05-26T10:00:00-04:00,525.45,525.55,525.43,525.50,1006000
SPY,2026-05-26T10:05:00-04:00,525.50,525.60,525.48,525.55,1007000
SPY,2026-05-26T10:10:00-04:00,525.55,525.65,525.53,525.60,1008000
SPY,2026-05-26T10:15:00-04:00,525.60,525.62,525.30,525.35,1009000
SPY,2026-05-26T10:20:00-04:00,525.35,525.40,525.25,525.30,1010000
SPY,2026-05-26T10:25:00-04:00,525.30,525.40,525.25,525.35,1011000
SPY,2026-05-26T10:30:00-04:00,525.35,525.65,525.30,525.60,1012000
SPY,2026-05-26T10:35:00-04:00,525.60,525.73,525.58,525.68,1013000
SPY,2026-05-26T10:40:00-04:00,525.68,525.81,525.66,525.76,1014000
SPY,2026-05-26T10:45:00-04:00,525.76,525.89,525.74,525.84,1015000
SPY,2026-05-26T10:50:00-04:00,525.84,525.97,525.82,525.92,1016000
SPY,2026-05-26T10:55:00-04:00,525.92,526.05,525.90,526.00,1017000
SPY,2026-05-26T11:00:00-04:00,526.00,526.13,525.98,526.08,1018000
SPY,2026-05-26T11:05:00-04:00,526.08,526.21,526.06,526.16,1019000
SPY,2026-05-26T11:10:00-04:00,526.16,526.29,526.14,526.24,1020000
SPY,2026-05-26T11:15:00-04:00,526.24,526.37,526.22,526.32,1021000
SPY,2026-05-26T11:20:00-04:00,526.32,526.45,526.30,526.40,1022000
SPY,2026-05-26T11:25:00-04:00,526.40,526.53,526.38,526.48,1023000
SPY,2026-05-26T11:30:00-04:00,526.48,526.61,526.46,526.56,1024000
